1	0.0	0.00000
2	1.0	0.00000
3	0.0	0.00100
4	1.0	0.00100
5	0.0	0.00200
6	1.0	0.00200
7	0.0	0.00300
8	1.0	0.00300
9	0.0	0.00400
10	1.0	0.00400
11	0.0	0.00500
12	1.0	0.00500
13	0.0	0.00600
14	1.0	0.00600
15	0.0	0.00700
16	1.0	0.00700
17	0.0	0.00800
18	1.0	0.00800
19	0.0	0.00900
20	1.0	0.00900
21	0.0	0.01000
22	1.0	0.01000
23	0.0	0.01100
24	1.0	0.01100
25	0.0	0.01200
26	1.0	0.01200
27	0.0	0.01300
28	1.0	0.01300
29	0.0	0.01400
30	1.0	0.01400
31	0.0	0.01500
32	1.0	0.01500
33	0.0	0.01600
34	1.0	0.01600
35	0.0	0.01700
36	1.0	0.01700
37	0.0	0.01800
38	1.0	0.01800
39	0.0	0.01900
40	1.0	0.01900
41	0.0	0.02000
42	1.0	0.02000
43	0.0	0.02100
44	1.0	0.02100
45	0.0	0.02200
46	1.0	0.02200
47	0.0	0.02300
48	1.0	0.02300
49	0.0	0.02400
50	1.0	0.02400
51	0.0	0.02500
52	1.0	0.02500
53	0.0	0.02600
54	1.0	0.02600
55	0.0	0.02700
56	1.0	0.02700
