1	14.3	14.3	14.3	14.3
2	14.3	14.3	14.3	14.3
3	14.3	14.3	14.3	14.3
4	14.3	14.3	14.3	14.3
5	14.3	14.3	14.3	14.3
6	14.3	14.3	14.3	14.3
7	14.3	14.3	14.3	14.3
8	14.3	14.3	14.3	14.3
9	14.3	14.3	14.3	14.3
10	14.3	14.3	14.3	14.3
11	14.3	14.3	14.3	14.3
12	14.3	14.3	14.3	14.3
13	14.3	14.3	14.3	14.3
14	14.3	14.3	14.3	14.3
15	14.3	14.3	14.3	14.3
16	14.3	14.3	14.3	14.3
17	14.3	14.3	14.3	14.3
18	14.3	14.3	14.3	14.3
19	14.3	14.3	14.3	14.3
20	14.3	14.3	14.3	14.3
21	14.3	14.3	14.3	14.3
22	14.3	14.3	14.3	14.3
23	14.3	14.3	14.3	14.3
24	14.3	14.3	14.3	14.3
25	14.3	14.3	14.3	14.3
26	14.3	14.3	14.3	14.3
27	14.3	14.3	14.3	14.3
