12	23	24	26	25	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
13	25	26	28	27	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
14	27	28	30	29	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
15	29	30	32	31	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
16	31	32	34	33	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
17	33	34	36	35	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
18	35	36	38	37	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
19	37	38	40	39	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
20	39	40	42	41	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
21	41	42	44	43	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
22	43	44	46	45	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
23	45	46	48	47	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
24	47	48	50	49	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
25	49	50	52	51	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
26	51	52	54	53	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
27	53	54	56	55	1	14.4	1,500	0	0	0	0	0	0	0	0	4	1000	0.1	0.75	0.075	3.00	0.0413	0.0065	0.001	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.76	0.0000001	10	0	0	0	0	0	0	2	2.E-06	2.E-06	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	3800	0.6	0.6	0.6	0	0	0	0
